"Family","Genus","species","bar_code","plot_code","X","Y","Fe","sapwood_dens","bark_thick","twig_dens","twig_bark_thick","N","NH4","C13","P","K","chlor","C_N","Nodulation","log_lf_area","log_tough","log_lflt_area","log_LTD","log_SLA","log_moist","PC1","PC2","PC3"
"Dichapetalaceae","Tapura","capitulifera","P00610036","P006",9,182,NA,0.7211,4,0.701527267,2.66357177,0.010319405,1,-31.59040127,0.00034,0.0033306,76.9532182633052,37.0438182240158,0,3.03174271107702,1.3787660946991,3.03174271107702,-10.1162087185655,1.84491606558606,-0.653926467406664,3.31013622228031,-0.288588861934961,-0.116872043111162
"Dichapetalaceae","Tapura","capitulifera","P00610141","P006",14,155,NA,0.56932966,3,0.357,1.56884176,0.014030159,0.761505,-31.1267112,0.0003556,0.0068,77.2440278377233,28.1584852317069,0,3.36844459519035,1.10856261952128,3.36844459519035,-10.1653456335511,2.01950602061423,0.087003043621574,0.595993336408597,1.58346024380801,-1.49878136137129
"Dichapetalaceae","Tapura","capitulifera","P00610146","P006",18,138,NA,0.8013,13,0.729,2.35,0.014866553,0.933784,-29.96273537,0.0003563,0.0042257,139.200492603905,27.1546092090076,0,2.29924619172853,1.42069578783722,2.29924619172853,-9.9990989807003,1.45480956362236,-0.722988022570967,3.30806064224954,-0.295957961716118,-1.02605147516618
"Dichapetalaceae","Tapura","capitulifera","P00610196","P006",28,199,NA,0.5522,3,0.585645045,0.48347057,0.013746172,0.757593,-29.74677406,0.00034,0.00445,107.944988039628,28.482545467931,0,2.75153531304195,1.46633706879343,2.75153531304195,-10.1185417636556,1.53662256867768,-0.105360515657826,2.09043205046957,1.06587121942957,-1.19062220545102
"Dichapetalaceae","Tapura","capitulifera","P00610290","P006",37,164,NA,0.643,3,0.541728652,1.585,0.012778345,0.722698,-32.62471379,0.00034,0.0016101,101.034936046069,29.3762210990547,0,3.43934914762653,1.20696831330573,3.43934914762653,-10.0875666237028,1.90463478138837,-0.673344553263766,2.66093329735341,0.444288056351492,0.0453168991127917
"Dichapetalaceae","Tapura","capitulifera","P00610292","P006",39,170,NA,0.53,4,0.79,4.03013955,0.014513495,0.762782,-32.98049871,0.0003321,0.00465,100.123371971863,25.8233379347979,0,3.56293823075609,1.16210860022724,3.56293823075609,-10.1665848748100,1.94421027141490,-0.387134151423441,2.02045038219003,0.610045542006841,-0.352985671727576
"Dichapetalaceae","Tapura","capitulifera","P00610320","P006",48,130,NA,0.8363,3,0.809,3.66437481,0.011886582,0.694697,-31.50868374,0.0004494,0.0051672,83.6935396758382,32.6966206096925,0,2.80940269536250,1.13676405463249,2.80940269536250,-10.0975705310481,1.90518454472261,-0.770460283662616,3.10037458718709,-1.12540489263789,0.397897206249145
"Dichapetalaceae","Tapura","capitulifera","P00610327","P006",52,137,NA,0.6907,8,0.633,1.67746857,0.013335756,0.636532,-30.85131049,0.00034,0.00394,117.554175887867,29.3614089819880,0,2.98230925322185,1.17041602079709,2.98230925322185,-10.0557652077619,1.77733694856283,-0.415515443961666,2.63870689357536,0.324719359452768,-1.09158382444834
"Dichapetalaceae","Tapura","capitulifera","P00610338","P006",47,150,NA,0.7982,3,0.785,2.33596341,0.013156238,0.711865,-29.62231272,0.0004275,0.0037414,65.1674990731603,30.9399915082108,0,3.08343785397310,1.17557332980424,3.08343785397310,-10.0227742640397,1.71819690205104,-0.693147180559945,2.90469282108954,-0.989544889224919,0.0455887185238006
"Dichapetalaceae","Tapura","capitulifera","P00610342","P006",43,159,NA,0.76009,7,0.777,2.19511246,0.01359493,0.672984,-30.67500899,0.0003749,0.00447,106.422049903810,29.2572148587746,0,2.27897522735491,1.17041602079709,2.27897522735491,-10.0504604888344,1.80481358796051,-0.755022584278033,2.93366106127041,-1.10573870038620,-0.475921618163113
